,pid,lab,ml_e_p,ap_e_p,dv_e_p,ml_t_p,ap_t_p,dv_t_p,phi_p,theta_p,depth_p,ml_e_m,ap_e_m,dv_e_m,ml_t_m,ap_t_m,dv_t_m,phi_m,theta_m,depth_m,ml_e_e,ap_e_e,dv_e_e,ml_t_e,ap_t_e,dv_t_e,phi_e,theta_e,depth_e
301,bfda40f8-a7a7-47cd-a439-39fb5cd7873f,danlab,4025.000,10459.798,1522.126,5060.276,10459.798,5580.638,180.000,15.000,4188.474,4025.000,10459.798,1522.126,5060.276,10459.798,5580.638,180.000,15.000,4188.474,3950.000,10975.000,1325.000,4653.790,10757.812,5849.440,-162.850,9.246,4583.999
302,779fbed1-4b0e-4d7d-8882-6650690221a0,danlab,4426.000,6089.972,510.571,3250.923,6089.972,7510.775,0.000,10.000,7098.145,4426.000,6089.972,510.571,3297.287,6089.972,7234.574,0.000,10.000,6818.079,4025.000,5975.000,550.000,3619.622,6452.210,7152.386,49.653,5.418,6632.010
303,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,mainenlab,3496.000,7239.926,509.521,4531.276,7239.926,4568.033,180.000,15.000,4188.474,3739.000,7239.926,925.487,4774.276,7239.926,4983.999,180.000,15.000,4188.474,3475.000,7325.000,475.000,4143.026,7597.764,4968.874,157.789,9.122,4551.436
304,a5f2ec22-0ff3-4249-bd2f-6247c3990e53,mainenlab,6217.000,5170.009,809.941,4296.118,5170.009,7409.649,0.000,17.000,6873.568,6385.000,5170.009,1141.874,4630.770,5170.009,7169.005,0.000,17.000,6277.231,6150.000,5200.000,775.000,3933.942,5336.042,7230.631,3.513,18.979,6826.756
305,c250d4f4-7516-4cf1-a8bd-04873ca9e21c,danlab,6232.000,8849.862,409.731,4383.626,8849.862,6760.318,0.000,17.000,6614.109,6232.000,8849.862,409.731,4594.718,8849.862,6035.053,0.000,17.000,5858.749,5625.000,9075.000,1325.000,4412.279,9629.394,5634.332,24.567,17.194,4510.919
306,6aa08c75-8ee5-457d-9794-b89ee1c4453f,danlab,3971.000,8159.890,360.361,5006.276,8159.890,4418.873,180.000,15.000,4188.474,3971.000,8159.890,360.361,5006.276,8159.890,4418.873,180.000,15.000,4188.474,3700.000,8200.000,375.000,4504.897,8231.368,4410.715,177.768,11.288,4115.317
307,acf04c3f-650a-4de0-b0d0-edf695dd2025,churchlandlab,4458.000,3100.092,1559.941,5493.276,3100.092,5618.453,180.000,15.000,4188.474,4457.900,3139.834,949.227,5482.358,3139.834,4965.327,180.000,15.000,4144.705,4275.000,3100.000,1550.000,5614.533,3696.410,4762.000,156.000,24.537,3530.864
308,5fd00035-89d6-4e7c-bb26-f103388b731d,churchlandlab,7020.000,3100.092,1559.941,5984.724,3100.092,5618.453,0.000,15.000,4188.474,6604.200,3098.528,1235.676,5620.351,3098.528,5092.582,0.000,15.000,3980.412,6725.000,3100.000,1475.000,6090.731,3845.587,5796.810,49.612,12.762,4431.280
309,5a5a2320-3b0d-485d-aba2-dc96357e00d8,wittenlab,3945.000,6319.963,460.151,4980.276,6319.963,4518.663,180.000,15.000,4188.474,3843.000,6323.643,587.252,4878.276,6323.643,4645.764,180.000,15.000,4188.474,3925.000,5975.000,575.000,4091.322,6279.468,4194.223,118.646,5.476,3635.813
310,c536b0a9-b710-43c3-ba2c-5a0cccf98ec2,churchlandlab,3384.000,6549.954,660.782,2242.611,6549.954,7460.300,0.000,10.000,6894.651,3443.100,6982.153,826.433,2382.249,6982.153,7146.168,0.000,10.000,6408.155,3350.000,7300.000,500.000,2183.204,7870.737,6964.737,26.066,11.361,6593.935
